"filename", "language", "Makefile", "Shell Script", "C++", "Markdown", "comment", "blank", "total"
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/ArmorFinder/include/ArmorFinder.h", "C++", 0, 0, 83, 0, 20, 12, 115
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/ArmorFinder/src/ArmorBox.cpp", "C++", 0, 0, 3, 0, 0, 1, 4
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/ArmorFinder/src/ArmorDetect.cpp", "C++", 0, 0, 118, 0, 32, 11, 161
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/ArmorFinder/src/AutoAiming.cpp", "C++", 0, 0, 42, 0, 27, 6, 75
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/ArmorFinder/src/FindLightBlobs.cpp", "C++", 0, 0, 119, 0, 71, 13, 203
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/ArmorFinder/src/stateClassifyingTarget.cpp", "C++", 0, 0, 46, 0, 7, 5, 58
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/ArmorFinder/src/stateSearchingTarget.cpp", "C++", 0, 0, 45, 0, 28, 4, 77
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/ArmorFinder/src/stateTrackingTarget.cpp", "C++", 0, 0, 56, 0, 24, 3, 83
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/Makefile", "Makefile", 57, 0, 0, 0, 36, 42, 135
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/include/CameraInit.h", "C++", 0, 0, 14, 0, 4, 3, 21
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/include/CameraParams.h", "C++", 0, 0, 518, 0, 61, 155, 734
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/include/MvCameraControl.h", "C++", 0, 0, 186, 0, 1166, 173, 1525
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/include/MvDeviceBase.h", "C++", 0, 0, 27, 0, 29, 36, 92
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/include/MvErrorDefine.h", "C++", 0, 0, 45, 0, 7, 13, 65
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/include/MvGigEDevice.h", "C++", 0, 0, 56, 0, 42, 59, 157
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/include/MvInclude.h", "C++", 0, 0, 33, 0, 3, 14, 50
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/include/MvUsb3VDevice.h", "C++", 0, 0, 39, 0, 33, 43, 115
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/include/PixelType.h", "C++", 0, 0, 93, 0, 20, 21, 134
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/include/TlFactory.h", "C++", 0, 0, 29, 0, 28, 23, 80
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Camera/src/CameraInit.cpp", "C++", 0, 0, 103, 0, 49, 10, 162
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Can/include/canManifold2G.h", "C++", 0, 0, 14, 0, 0, 3, 17
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Can/include/mcudata.h", "C++", 0, 0, 50, 0, 16, 12, 78
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Can/src/canManifold2G.cpp", "C++", 0, 0, 85, 0, 26, 9, 120
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Can/src/mcudata.cpp", "C++", 0, 0, 89, 0, 16, 15, 120
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/include/energy.h", "C++", 0, 0, 37, 0, 57, 31, 125
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/include/param_struct_define.h", "C++", 0, 0, 22, 0, 55, 11, 88
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/Energy.cpp", "C++", 0, 0, 24, 0, 26, 11, 61
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/EnergyClear.cpp", "C++", 0, 0, 6, 0, 11, 8, 25
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/EnergyFinder.cpp", "C++", 0, 0, 46, 0, 12, 11, 69
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/EnergyMain.cpp", "C++", 0, 0, 10, 0, 0, 3, 13
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/EnergyRun.cpp", "C++", 0, 0, 9, 0, 9, 7, 25
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/JudgeContour.cpp", "C++", 0, 0, 30, 0, 20, 6, 56
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/ShowEnergyArmors.cpp", "C++", 0, 0, 88, 0, 40, 18, 146
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Enegry/src/Structing.cpp", "C++", 0, 0, 15, 0, 6, 4, 25
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Kalman/include/kalmanfilter.h", "C++", 0, 0, 8, 0, 3, 4, 15
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Kalman/src/kalmanfilter.cpp", "C++", 0, 0, 18, 0, 15, 6, 39
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Number/include/GetFeature.h", "C++", 0, 0, 13, 0, 3, 4, 20
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Number/src/GetFeature.cpp", "C++", 0, 0, 164, 0, 39, 12, 215
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Preprocess/include/Preprocess.h", "C++", 0, 0, 16, 0, 1, 5, 22
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Preprocess/src/Preprocess.cpp", "C++", 0, 0, 61, 0, 20, 10, 91
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Preprocess/src/kalman.cpp", "C++", 0, 0, 53, 0, 5, 11, 69
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Tools/include/log.h", "C++", 0, 0, 33, 0, 10, 6, 49
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Tools/include/options.h", "C++", 0, 0, 22, 0, 3, 7, 32
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Codes/Tools/src/options.cpp", "C++", 0, 0, 133, 0, 4, 4, 141
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/Makefile", "Makefile", 37, 0, 0, 0, 20, 19, 76
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/README.md", "Markdown", 0, 0, 0, 2, 0, 1, 3
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/autorun.sh", "Shell Script", 0, 6, 0, 0, 7, 3, 16
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/config.h", "C++", 0, 0, 1, 0, 0, 1, 2
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/constants.h", "C++", 0, 0, 14, 0, 3, 8, 25
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/main.cpp", "C++", 0, 0, 100, 0, 28, 16, 144
"/home/seafood/workdir/gitsource/RoboMaster-Vision2020/main.h", "C++", 0, 0, 26, 0, 4, 5, 35
"Total", "-", 94, 6, 2842, 2, 2146, 918, 6008